country_name,scenario,log_gdp_pc_ood_onset,log_population_ood_onset,hdi_ood_onset,control_of_corruption_ood_onset,employment_agriculture_ood_onset,gini_coefficient_ood_onset,gdp_growth_5y_ood_onset,region_EAP_ood_onset,region_ECA_ood_onset,region_LAC_ood_onset,region_MENA_ood_onset,region_NAC_ood_onset,region_SAS_ood_onset
Cabo Verde,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Cambodia,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Cambodia,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Cambodia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Cameroon,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Cameroon,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Cameroon,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Canada,SSP1,2025,,,,2100.0,,,,,,,,2025.0
Canada,SSP4,2025,,,,2085.0,,,,,,,,2025.0
Canada,SSP5,2025,,,,2070.0,,,,,,,,2025.0
Central African Republic,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Central African Republic,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Central African Republic,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Chad,SSP1,2025,,,,2090.0,,,,,,,2025.0,2025.0
Chad,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Chad,SSP5,2025,,,,2080.0,,,,,,,2025.0,2025.0
Chile,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Chile,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Chile,SSP5,2025,,,,2065.0,2100.0,,,,,,2025.0,2025.0
China,SSP1,2025,2025.0,,,2075.0,2075.0,,,,,,2025.0,2025.0
China,SSP4,2025,2025.0,,,2080.0,,,,,,,2025.0,2025.0
China,SSP5,2025,2025.0,,,2070.0,2065.0,,,,,,2025.0,2025.0
Colombia,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Colombia,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Colombia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Comoros,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Comoros,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Comoros,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Congo,SSP1,2025,,,,2065.0,,,,,,,2025.0,2025.0
Congo,SSP4,2025,,,,2100.0,,,,,,,2025.0,2025.0
